#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
acebuchal,A,S,acebuchal
acebuchales,A,P,acebuchal
acebuchena,F,S,acebucheno
acebuchenas,F,P,acebucheno
acebucheno,M,S,acebucheno
acebuchenos,M,P,acebucheno
acechador,M,S,acechador
acechadora,F,S,acechador
acechadoras,F,P,acechador
acechadores,M,P,acechador
acechona,F,S,acechón
acechonas,F,P,acechón
acechones,M,P,acechón
acechón,M,S,acechón
aceda,F,S,acedo
acedas,F,P,acedo
acedo,M,S,acedo
acedos,M,P,acedo
aceitera,F,S,aceitero
aceiteras,F,P,aceitero
aceitero,M,S,aceitero
aceiteros,M,P,aceitero
aceitosa,F,S,aceitoso
aceitosas,F,P,aceitoso
aceitoso,M,S,aceitoso
aceitosos,M,P,aceitoso
aceitunada,F,S,aceitunado
aceitunadas,F,P,aceitunado
aceitunado,M,S,aceitunado
aceitunados,M,P,aceitunado
aceitunil,A,S,aceitunil
aceituniles,A,P,aceitunil
acelajada,F,S,acelajado
acelajadas,F,P,acelajado
acelajado,M,S,acelajado
acelajados,M,P,acelajado
acelerada,F,S
aceleradas,F,P,acelerada
acelerado,M,S
acelerador,M,S,acelerador
aceleradora,F,S,acelerador
aceleradoras,F,P,acelerador
aceleradores,M,P,acelerador
acelerados,M,P,acelerado
aceleratrices,F,P,aceleratriz
aceleratriz,F,S
acemilada,F,S,acemilado
acemiladas,F,P,acemilado
acemilado,M,S,acemilado
acemilados,M,P,acemilado
acemilar,A,S,acemilar
acemilares,A,P,acemilar
acemilera,F,S,acemilero
acemileras,F,P,acemilero
acemilero,M,S,acemilero
acemileros,M,P,acemilero
acendrada,F,S,acendrado
acendradas,F,P,acendrado
acendrado,M,S,acendrado
acendrados,M,P,acendrado
acensuada,F,S,acensuado
acensuadas,F,P,acensuado
acensuado,M,S,acensuado
acensuados,M,P,acensuado
acentual,A,S,acentual
acentuales,A,P,acentual
acepta,F,S
aceptable,A,S,aceptable
aceptables,A,P,aceptable
aceptador,M,S,aceptador
aceptadora,F,S,aceptador
aceptadoras,F,P,aceptador
aceptadores,M,P,aceptador
aceptas,F,P,acepto
acepto,M,S,acepto
aceptos,M,P,acepto
acerada,F,S,acerado
aceradas,F,P,acerado
acerado,M,S,acerado
acerados,M,P,acerado
acerba,F,S,acerbo
acerbas,F,P,acerbo
acerbo,M,S,acerbo
acerbos,M,P,acerbo
acercador,M,S,acercador
acercadora,F,S,acercador
acercadoras,F,P,acercador
acercadores,M,P,acercador
